Название,Категория,Полное название,Координаты,Область,Район,Значение,Тип заказника,Тип памятника природы,WORLD_HERITAGE_SITE,UNESCO_BIOSPHERE_RESERVE, EUROPEAN_DIPLOMA_OF_PROTECTED_AREAS,RAMSAR_SITE,IMPORTANT_BIRD_AREA,IMPORTANT_PLANT_AREA
Нарочанский,Национальный парк,Национальный парк,"54.909603, 26.706617",Минская,Мядельский,,,,,,,,,
«Черневичский»,Заказник,Республиканский ландшафтный заказник,"53.976486, 28.813393",Минская,Березинский,REPUBLICAN,LANDSCAPE,,,,,,,
«Борисовский»,Заказник,Ландшафтный заказник,"55.433479, 35.952243",Минская,Борисовский,REPUBLICAN,LANDSCAPE,,,,,,,
“Селява”,Заказник,Заказник республиканского значения,"54.483107, 29.148310",Минская,Крупский,REPUBLICAN,LANDSCAPE,,,,,,,
«Купаловский»,Заказник,Республиканский ландшафтный заказник,"54.014411, 27.746183",Минская,Логойский,REPUBLICAN,LANDSCAPE,,,,,,,
"""Белая Русь""",Заказник,Республиканский ландшафтный заказник,"54.400011, 27.890386",Минская,Логойский,REPUBLICAN,LANDSCAPE,,,,,,,
"""Налибокский""",Заказник,Республиканский ландшафтный заказник,"54.084262, 26.525301",Минская,Воложинский,REPUBLICAN,LANDSCAPE,,,,,,,
«Прилепский»,Заказник,Республиканский ландшафтный заказник,"54.026992, 27.771877",Минская,Минский,REPUBLICAN,LANDSCAPE,,,,,,,
«Тресковщина»,Заказник,Республиканский ландшафтный заказник,"53.906234, 27.118364",Минская,Минский,REPUBLICAN,LANDSCAPE,,,,,,,
«Черневский»,Заказник,Биологический заказник республиканского значения,"54.037448, 28.806245",Минская,Борисовский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Лебяжий»,Заказник,Биологический заказник республиканского значения,"53.945671, 27.449551",Минская,г. Минск,REPUBLICAN,BIOLOGICAL,,,,,,,
«Денисовичский»,Заказник,Биологический заказник республиканского значения,"54.257467, 29.151811",Минская,Крупский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Глебковка»,Заказник,Биологический заказник республиканского значения,"53.920967, 27.805639",Минская,Минский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Подсады»,Заказник,Биологический заказник республиканского значения,"53.949081, 27.153500",Минская,Минский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Прилукский»,Заказник,Биологический заказник республиканского значения,"53.788571, 27.369938",Минская,Минский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Стиклево»,Заказник,Биологический заказник республиканского значения,"53.880786, 27.727649",Минская,г. Минск,REPUBLICAN,BIOLOGICAL,,,,,,,
«Юхновский»,Заказник,Биологический заказник республиканского значения,"53.964733, 27.846868",Минская,Минский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Копыш»,Заказник,Биологический заказник республиканского значения,"53.429631, 28.190883",Минская,Пуховичский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Матеевичский»,Заказник,Биологический заказник республиканского значения,"53.389473, 28.232268",Минская,Пуховичский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Омельянский»,Заказник,Биологический заказник республиканского значения,"53.400957, 27.900160",Минская,Пуховичский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Омговичский»,Заказник,Биологический заказник республиканского значения,"53.233636, 27.869797",Минская,Пуховичский,REPUBLICAN,BIOLOGICAL,,,,,,,
«Волмянский»,Заказник,Биологический заказник республиканского значения,"53.885023, 27.909856",Минская,Смолевичский,REPUBLICAN,BIOLOGICAL,,,,,,,
